,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094057,300
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094057,310
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094057,170
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094057,200
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094057,140
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094057,310
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094057,80
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094057,320
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094057,40
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094057,310
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094057,300
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094057,290
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094057,220
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094057,270
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094057,280
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094057,300
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094057,110
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094057,320
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094057,300
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094057,320
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094057,320
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094057,260
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094057,270
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094057,300
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094057,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094057,300
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094057,310
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094057,270
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094057,280
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094057,250
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094057,310
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094057,60
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094057,290
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094057,280
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00094057,280
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00094057,300
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00094057,260
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00094057,320
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00094057,290
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00094057,310
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00094057,340
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00094057,330
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00094057,130
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00094057,310
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00094057,310
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00094057,270
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00094057,280
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00094057,220
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00094057,250
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00094057,260
